word,score
月,0.008610603
朋,-0.006786759
山田,0.000575948
オンス,0.040752618
鉛筆,0.005932273
スクーター,0.0035914
微量,-0.059966448
京一,-0.000938696
戦い,-0.002374653
朝,-0.010618556
ユーエス,0.007464005
期,0.011238814
営業キャッシュフロー,0.018481201
配置,-0.017760696
レーガン,-0.009072467
ワンマン,-0.022576565
不変,0.018336344
予算,-0.034005337
づらい,0.012407784
木,0.01404285
抜き出す,0
未,-0.016602777
札,0.009974955
本,-0.009984493
何とか,0.009818224
女王,0.007920476
売上高総利益率,-0.017257003
能美,0.001735251
見計らう,-0.01256898
杭州,-0.018662295
真正面,-0.006656011
一服,0.085748172
砲撃,0.001359869
うける,0.009173597
商標権,0.002169897
記憶装置,-0.025934825
部分,-0.039407754
紀州,0.011427504
監視カメラ,0.265809083
ちの,-0.007473252
売られるだろう,-0.002927405
悩む,-0.01101227
仕掛け,-0.005234165
登場,-0.005263884
遅い,0.013593265
株式交換,-0.025104978
ア社,0.029818039
行動,-0.02156506
休業,-0.01835894
振れする,0.011147087
超過,0.265978712
デング熱,0.019561772
大洋州,-0.00932634
偏る,-0.004570375
益子,-0.015037432
技術情報,0.026377461
直之,-0.028834025
炉心,0.000347775
下ろす,0.010594757
上向かせる,0.003065126
語句,0.011539403
クミアイ化学工業,0.009279764
シミュレータ,0.007251588
持ち上がる,-0.015282913
松井,-0.006009146
給付,0.011594767
賭博,0.011769396
網羅,0.001967994
決めかねる,-0.015966978
対外,0.012627866
シリコンウエハー,-0.00915594
届け出る,0.002132228
性急,-0.014522008
拾う,-0.012639912
守り,0.031949928
守る,0.029799748
信博,0.015572496
ボード,0.001782235
ボート,-0.009796646
アマダ,-0.014473348
測位,0.01025401
番号,-0.021706977
代替,-0.004000092
触れぬ,-0.005537094
砲,0.007658312
落ち着き,0.045143852
靖彦,0.007229913
不買運動,-0.000473438
等分,-0.001233238
修一,0.003748807
砦,0.000431431
培う,0.000372421
埋まる,0.004239686
領土問題,0.008059788
卸す,0.006336425
問屋,-0.003697514
保てる,-0.005035041
ニュージャージー,-0.014776592
再開,0.004947827
日石,0.012043036
大内,0.011352586
一員,0.004943957
財政再建,-0.00948817
効く,0.033756047
ローミング,-0.01589747
手取り,-0.014764488
開花,-0.000761835
百貨店,-0.014669437
騎士,-0.009298748
フレア,0.007493291
未来永劫,0.007782168
砂,0.019962767
構造調整,0.010041532
運休,-0.001316497
郵船,-0.015046169
紛糾,-0.001193641
エネルギー効率,-0.016055875
異なる,0.004093484
事後,-0.003533124
北米,0.065660142
逃れ,0
為替予約,-0.034940119
藤島,0.007272166
リーフ,0.023962365
オフィスビル,-0.000711191
漁師,0.008151697
農水,0.012821392
粉飾決算,-0.000356496
総菜,0.107561086
旅客,0.000731098
ペトロナス,0.012892411
投じない,0.008681106
短信,0.011253224
動意,0.035415708
眺め,0.005442757
学習院大,0.011778795
偽計,-0.013923426
