,word,score
328,迷う,-1
329,滅びる,-1
330,面目,-1
331,面目次第,-1
332,蒙る,-1
333,落ち込む,-1
334,落とさ,-1
335,落とし,-1
336,乱れる,-1
337,裂ける,-1
338,路頭,-1
339,漏らす,-1
340,漏れる,-1
341,老いる,-1
342,歪む,-1
343,詫びる,-1
344,咎める,-1
345,咬ま,-1
346,毀す,-1
347,毀れる,-1
348,憑,-1
349,罹る,-1
350,挾ま,-1
351,涸れる,-1
352,疵付ける,-1
353,縺れる,-1
354,茫然,-1
355,茫漠,-1
356,躊躇う,-1
357,躓く,-1
358,轢く,-1
359,騙す,-1
360,,-1
361,あく,-1
362,あくどい,-1
363,あざとい,-1
364,あばずれ,-1
365,あほらしい,-1
366,あやしい,-1
367,あやふや,-1
368,あらい,-1
369,あらっぽい,-1
370,あり,-1
371,ありふれる,-1
372,ある,-1
373,あわせ,-1
374,あんぽんたん,-1
375,いかがわしい,-1
376,いかつい,-1
377,いぎたない,-1
378,いけ好かない,-1
379,いけ図々しい,-1
380,いこじ,-1
381,いじいじ,-1
382,いじける,-1
383,いじましい,-1
384,いぶかしい,-1
385,いまいち,-1
386,いまいましい,-1
387,いまひとつ,-1
388,いまわしい,-1
389,いま一つ,-1
390,いやがる,-1
391,いやしい,-1
392,いやらしい,-1
393,いろあせる,-1
394,いわく,-1
395,いんちき,-1
396,うじうじ,-1
397,うす汚い,-1
398,うとい,-1
399,うらめしい,-1
400,うら寂しい,-1
401,うら悲しい,-1
402,えげつない,-1
403,おこがましい,-1
404,おしい,-1
405,おせっかい,-1
406,おそい,-1
407,おそまつ,-1
408,おぞましい,-1
409,おためごかし,-1
410,おたんこなす,-1
411,おっかない,-1
412,おっくう,-1
413,おっさん,-1
414,おっちょこちょい,-1
415,おばさん,-1
416,おびやかす,-1
417,おもはゆい,-1
418,おんぼろ,-1
419,お節介,-1
420,お粗末,-1
421,かっこ,-1
422,かったるい,-1
423,かみ合う,-1
424,かん高い,-1
425,がさつ,-1
426,がっかり,-1
427,がつがつ,-1
428,がめつい,-1
429,ききにくい,-1
430,きちきち,-1
431,きつい,-1
432,きびしい,-1
433,きゅうきゅう,-1
434,ぎくしゃく,-1
435,ぎこちない,-1
436,ぎごち,-1
437,ぎすぎす,-1
438,ぎちぎち,-1
439,ぎゅうぎゅう,-1
440,ぎょうぎょうしい,-1
441,ぎょっと,-1
442,くしゃくしゃ,-1
443,くそ,-1
444,くだらない,-1
445,くどい,-1
446,ぐしゃぐしゃ,-1
447,ぐしょぐしょ,-1
448,ぐじゃぐじゃ,-1
449,ぐずぐず,-1
450,ぐずる,-1
451,ぐにゃぐにゃ,-1
452,ぐらぐら,-1
453,ぐらつく,-1
454,けがらわしい,-1
455,けしからん,-1
456,けちけち,-1
457,けちん坊,-1
458,けばけば,-1
459,けばけばしい,-1
460,けわしい,-1
461,けんのん,-1
462,げっそり,-1
463,こしゃく,-1
464,こすい,-1
465,こせこせ,-1
466,こっぴどい,-1
